"ProjectName","Coverage","CodeSmells","Bugs","Vulnerabilities","BlockerCount","TotalBlockerEffort","CriticalCount","TotalCriticalEffort","MajorCount","TotalMajorEffort","MinorCount","TotalMinorEffort"
"CMP-BinManager","0.0","1805","12","7","1","10","2","10","9","100","0","0"
"CMP-ConnectWebAPI","0.0","993","60","3","0","0","4","40","56","387","0","0"
"CMP-ImagePreparer","","","","","0","0","0","0","0","0","0","0"
"CMP-ImpositionManager","","","","","0","0","0","0","0","0","0","0"
"CMP-PlantForecastWebservice","","","","","0","0","0","0","0","0","0","0"
"CMP-NavigatorWebAPI","0.0","1284","70","6","1","20","4","40","61","457","4","20"
"CMP-DEV","","","","","0","0","0","0","0","0","0","0"
"CMP-CreateXMLForImage","0.0","3472","11","0","1","10","1","5","8","70","1","2"
"CMP-Guide","0.0","2343","64","4","9","250","1","5","46","423","8","100"
"CMP-LoadLineItem","","","","","0","0","0","0","0","0","0","0"
"CMP-POMS.UploadEvents","0.0","4564","2","2","0","0","0","0","2","20","0","0"
"CMP-Grouper","0.0","749","16","0","0","0","0","0","16","160","0","0"
"CMP-CreateXMLForPlaceOrder","0.0","1639","32","19","2","20","0","0","29","400","1","2"
"CMP-MetrixHandler","0.0","581","14","0","0","0","0","0","14","150","0","0"
"CMP-ImagePreflight","0.0","697","16","0","1","10","0","0","15","148","0","0"
"CMP-KanbanGUI","0.0","1504","114","5","0","0","0","0","68","379","32","160"
"CMP-CMP.CMPUpdateStatus","0.0","440","5","2","0","0","0","0","5","65","0","0"
"CMP-DynamicGrouper","0.0","1145","15","0","1","10","0","0","14","125","0","0"
"CMP-Navigator","0.0","486","73","0","0","0","0","0","72","294","1","5"
"CMP-DSI","","","","","0","0","0","0","0","0","0","0"
"CMP-Connect","","","","","0","0","0","0","0","0","0","0"
"check_engine-check_engine","0.0","151","23","0","0","0","0","0","23","184","0","0"
"CMP-OutputManagerAPI","","","","","0","0","0","0","0","0","0","0"
"CMP-InsertEventsInCMP","0.0","1251","7","0","0","0","0","0","7","70","0","0"
"CMP-MaterialImportAPI","","","","","0","0","0","0","0","0","0","0"
"CMP-PlantForecastClient","","","","","0","0","0","0","0","0","0","0"
"CMP-BSINetShippingAPI","0.0","62","0","1","0","0","0","0","0","0","0","0"
"CMP-OutputManagerUI","0.0","3427","41","0","0","0","0","0","40","398","1","15"
"CMP-GetIMPBData","","","","","0","0","0","0","0","0","0","0"
"CMP-POMS.Tracer","","","","","0","0","0","0","0","0","0","0"
"CMP-Calculator","","","","","0","0","0","0","0","0","0","0"
"CMP-FileDownloader","0.0","256","8","0","0","0","0","0","8","90","0","0"
"CMP-CMPToLineSupervisor","","","","","0","0","0","0","0","0","0","0"
"CMP-ColorManagementUpdate","","","","","0","0","0","0","0","0","0","0"
"checks-chase-sys","0.0","28","1","0","0","0","0","0","1","10","0","0"
"checks-account-sys","","0","0","0","0","0","0","0","0","0","0","0"
"checks-integration-exp","","0","0","0","0","0","0","0","0","0","0","0"
"checks-checks-all-exp","","0","0","0","0","0","0","0","0","0","0","0"
"checks-product-sys","","0","0","0","0","0","0","0","0","0","0","0"
"checks-order-sys","","0","0","0","0","0","0","0","0","0","0","0"
"checks-td-sys","0.0","37","0","0","0","0","0","0","0","0","0","0"
"CMP-MergeImageWebService","0.0","1230","69","0","0","0","4","40","61","452","4","20"
"CMP-LBBS","","","","","0","0","0","0","0","0","0","0"
"CMP-LineSupervisor","","","","","0","0","0","0","0","0","0","0"
